name,category,exciter,material,patch_level_db,loudness_db,peak_db,hard_note_peak_db,tail_db,centroid_hz,sustain_db,width_db,modulation_db,pitch_cents,note_vs_strongest_db
Bongo Pair,MEMBRANE,strike,membrane,2.09,-22.7866,-8.14613,-2.99661,-238.071,262.59,-69.3243,-11.0387,7.4247,0.555303,0
Surdo,MEMBRANE,strike,membrane,-1.13,-21.0029,-8.11677,-10.2197,-212.45,218.928,-36.4567,-11.3722,1.52693,0.78519,0
Dhol,MEMBRANE,strike,membrane,-0.15,-20.9974,-8.16688,-3.54512,-226.317,675.021,-48.7217,-8.83973,11.1609,0.654572,0
Tar Frame,MEMBRANE,strike,membrane,0.14,-21.5843,-8.72045,-2.99559,-221.063,294.857,-43.5196,-7.52655,2.76661,1.11431,0
Roto Toms,MEMBRANE,strike,membrane,0.4,-21.4905,-6.82685,-3.00315,-228.482,295.306,-47.0343,-8.85774,2.59641,0.964037,0
Water Drum,MEMBRANE,strike,membrane,-1.07,-20.9981,-8.86491,-10.4275,-199.129,238.811,-32.271,-10.2331,2.39614,0.962735,0
Distant Thunder,MEMBRANE,strike,membrane,0.79,-21.0035,-9.80421,-12.7617,-179.621,212.165,-27.5821,-12.4159,6.94129,0.940926,0
Drum Circle,MEMBRANE,strike,membrane,0.63,-21.8302,-7.74763,-2.99752,-205.01,224.406,-46.2162,-4.75245,2.29648,-0.237551,0
Breathing Drum,MEMBRANE,strike,membrane,-1.33,-21.0019,-8.65076,-6.93502,-191.81,286.35,-30.1334,-7.86723,2.95839,1.50586,0
Cuica Whine,MEMBRANE,bow,membrane,1.19,-21.0005,-17.5115,-15.493,-170.881,811.435,-0.0220855,-34.6646,3.0049,0.178294,0
Heartbeat,MEMBRANE,strike,membrane,1.06,-21.0016,-8.34718,-12.1186,-237.925,461.162,-68.4393,-15.7636,11.7652,0.280035,0
Soft Toms,MEMBRANE,strike,membrane,-0.56,-20.9982,-7.58904,-9.84684,-216.302,221.963,-42.5757,-9.96777,1.11413,0.948283,0
