test,key,value
performance/engine cpu by voices, exciter and sample rate,48k.strike.16v.coupling0.00.chaos0.0.motion0.0.percentOfCore,9.00137
performance/engine cpu by voices, exciter and sample rate,48k.strike.16v.coupling1.00.chaos0.0.motion0.0.percentOfCore,9.81034
performance/engine cpu by voices, exciter and sample rate,48k.strike.16v.coupling0.35.chaos1.0.motion0.0.percentOfCore,12.1714
performance/engine cpu by voices, exciter and sample rate,48k.strike.16v.coupling0.35.chaos0.1.motion1.0.percentOfCore,12.2148
performance/engine cpu by voices, exciter and sample rate,48k.bow.8v.coupling0.00.chaos0.0.motion0.0.percentOfCore,4.87811
performance/engine cpu by voices, exciter and sample rate,48k.bow.8v.coupling1.00.chaos0.0.motion0.0.percentOfCore,5.67071
performance/engine cpu by voices, exciter and sample rate,48k.bow.8v.coupling0.35.chaos1.0.motion0.0.percentOfCore,6.31835
performance/engine cpu by voices, exciter and sample rate,48k.bow.8v.coupling0.35.chaos0.1.motion1.0.percentOfCore,6.47566
performance/engine cpu by voices, exciter and sample rate,48k.bow.16v.coupling0.00.chaos0.0.motion0.0.percentOfCore,10.6934
performance/engine cpu by voices, exciter and sample rate,48k.bow.16v.coupling1.00.chaos0.0.motion0.0.percentOfCore,11.2083
performance/engine cpu by voices, exciter and sample rate,48k.bow.16v.coupling0.35.chaos1.0.motion0.0.percentOfCore,12.6377
performance/engine cpu by voices, exciter and sample rate,48k.bow.16v.coupling0.35.chaos0.1.motion1.0.percentOfCore,11.6641
performance/engine cpu by voices, exciter and sample rate,48k.bow.16v.qualityEco.percentOfCore,8.30362
performance/engine cpu by voices, exciter and sample rate,48k.bow.16v.qualityNormal.percentOfCore,11.7806
performance/engine cpu by voices, exciter and sample rate,48k.bow.16v.qualityHigh.percentOfCore,18.6736
performance/quality modes sound alike and switch live without clicks,normal.lsdVsHigh_dB,1.17327
performance/quality modes sound alike and switch live without clicks,normal.pitchVsHigh_cents,0.010736
performance/quality modes sound alike and switch live without clicks,eco.lsdVsHigh_dB,1.74493
performance/quality modes sound alike and switch live without clicks,eco.pitchVsHigh_cents,0.0329902
performance/quality modes sound alike and switch live without clicks,switching.maxStep,0.0123434
performance/quality modes sound alike and switch live without clicks,steady.maxStep,0.0120926
performance/profile target (8 bowed voices, 1 s),realtimeFraction,0.0621253
presets/factory library is complete and valid,factoryPresets,46
presets/factory library is complete and valid,category.PADS,4
presets/factory library is complete and valid,category.PLUCKED,4
presets/factory library is complete and valid,category.STRUCK,4
presets/factory library is complete and valid,category.BOWED,4
presets/factory library is complete and valid,category.AIR,4
presets/factory library is complete and valid,category.GLASS,3
presets/factory library is complete and valid,category.METAL,4
presets/factory library is complete and valid,category.WOOD,4
presets/factory library is complete and valid,category.MEMBRANE,4
presets/factory library is complete and valid,category.DRONES,3
