time_s,core,A,B,C,D
1.55033,5.02584e-08,1.60614e-10,2.85913e-09,1.5625e-08,2.83964e-09
1.56033,1.57043e-07,1.61791e-08,1.05201e-08,7.19527e-10,2.38887e-09
1.57033,5.72492e-09,2.03232e-09,3.84845e-08,2.51757e-09,3.00698e-09
1.58033,2.16143e-08,2.26778e-08,1.26252e-08,3.01455e-10,1.70428e-08
1.59033,1.49251e-08,1.38048e-08,4.20929e-08,2.37572e-08,1.58738e-08
1.60033,1.63001e-08,1.59494e-08,5.35048e-09,3.91688e-08,2.11502e-09
1.61033,3.22285e-08,1.97164e-09,6.59437e-09,3.66159e-09,4.73786e-08
1.62033,1.64301e-08,2.36801e-09,2.02519e-08,1.79487e-08,1.32344e-08
1.63033,1.36811e-08,5.99136e-10,2.85025e-08,6.5987e-09,2.6896e-08
1.64033,1.53642e-08,4.61896e-09,1.81242e-08,1.75341e-08,3.65073e-09
1.65033,1.16024e-10,1.25096e-08,6.2239e-09,1.45141e-08,3.93335e-09
1.66033,6.16198e-09,1.86852e-08,1.16999e-08,5.63334e-09,1.76259e-08
1.67033,3.42237e-08,2.2259e-09,1.2806e-08,9.39369e-10,3.10595e-10
1.68033,2.91077e-08,1.52726e-08,3.22484e-08,3.83141e-09,8.92813e-11
1.69033,3.2454e-08,1.7046e-09,3.80845e-08,1.23216e-08,1.44754e-09
1.70033,1.19294e-08,1.67286e-09,1.22433e-08,2.33634e-08,6.51587e-09
1.71033,7.60481e-09,1.29545e-08,1.75785e-08,1.69442e-08,1.61575e-08
1.72033,5.86426e-08,2.6343e-09,1.61207e-08,5.41814e-09,1.15597e-09
1.73033,1.07392e-08,1.12484e-09,1.55496e-08,8.55878e-09,5.32491e-08
1.74033,2.12744e-08,1.5527e-09,1.54141e-08,2.52717e-09,6.76731e-09
1.75033,2.18025e-08,3.07696e-09,3.11235e-10,2.31387e-09,5.6438e-10
1.76033,3.82099e-09,2.09219e-08,1.67271e-09,5.99484e-10,5.81406e-09
1.77033,2.89984e-08,2.36537e-09,1.62743e-09,8.75421e-09,5.63016e-10
1.78033,9.71422e-10,3.96455e-09,3.0156e-08,1.47758e-09,2.28453e-09
1.79033,8.10378e-09,1.89707e-09,3.35955e-08,5.29163e-09,5.94808e-09
1.80033,9.25702e-09,6.1619e-10,4.91914e-09,2.06074e-08,5.46715e-09
1.81033,8.13695e-09,6.98158e-10,4.13209e-09,1.39298e-08,4.64255e-08
1.82033,7.96271e-09,5.65488e-10,2.24911e-08,8.63411e-09,1.2492e-09
1.83033,1.81324e-10,1.05293e-09,4.49072e-09,2.05535e-10,1.81934e-09
1.84033,3.70491e-09,2.07325e-09,3.54649e-09,7.23607e-11,3.12598e-11
1.85033,1.62679e-08,3.85346e-09,8.87141e-10,6.70129e-11,5.63706e-09
1.86033,4.38123e-09,4.38649e-09,2.64753e-10,2.97598e-09,4.53444e-09
1.87033,1.69696e-08,1.28049e-10,6.11136e-09,4.99749e-09,1.6819e-10
1.88033,4.26063e-08,5.84582e-09,3.318e-09,5.73142e-09,4.09693e-09
1.89033,8.48932e-09,4.3165e-09,1.36681e-08,3.23425e-09,3.88182e-09
1.90033,7.96448e-09,3.00083e-09,6.83433e-09,5.7075e-09,1.9126e-09
1.91033,3.84559e-09,3.32866e-10,6.4213e-09,7.81924e-09,6.93153e-10
1.92033,1.75931e-08,1.75122e-09,5.39029e-09,2.15668e-09,7.94896e-10
1.93033,7.12073e-09,1.87014e-09,1.20835e-08,1.68635e-09,1.08708e-08
